project_denomination;paragraph_id;page_nb;paragraph;x_group;y_min_paragraph;y_max_paragraph
auchanholding;78;118;par les fondations : 216;0;66;83
auchanholding;79;118;"Rapport financier 2018 I 116.
";0;21;30
auchanholding;80;118;@;1;730;738
auchanholding;81;118;Drive;1;691;698
auchanholding;82;118;Producteurs locaux;1;604;618
auchanholding;83;118;Depuis 1961 et l’ouverture de son premier magasin à Roubaix, dont la vision était de proposer aux clients une offre regroupant « tout sous le même toit », Auchan Retail a entretenu sa mission première : « améliorer chaque jour le pouvoir d’achat et la qualité de vie du plus grand nombre de clients grâce à des collaborateurs responsables, professionnels, passionnés et considérés ». But réaffirmé dans le cadre de la Vision 2025 « Auchan change la vie ».;1;388;496
auchanholding;84;118;Avec le temps, les habitudes de consommation évoluent. Auchan Retail met tout en œuvre pour s’y adapter, innover et appréhender la grande diversité des besoins clients, tout en simplifiant leurs parcours de courses.;1;325;384
auchanholding;85;118;Sur l’ensemble de ses territoires d’implantation, Auchan Retail développe son ancrage local par une approche multiformat et phygitale. Pour servir cette ambition, chaque pays d’Auchan Retail travaille à l’organisation de son territoire en zones de vie. Autrement dit : des zones géographiques au sein desquelles s’organise le quotidien des habitants (logement, travail, commerce, éducation, santé, loisirs…). Elles fédèrent les différents points de contact : magasins physiques (hypermarché, supermarché, ultra-proximité, drive) et sites digitaux interconnectés. Ces points de contact fonctionnent de façon complémentaire pour comprendre les diverses attentes des clients et y répondre en pleine cohérence.;1;154;321
auchanholding;86;118;En plaçant le client au centre de leurs attentions, les collaborateurs des différents formats sont amenés à échanger, à travailler ensemble, au service d’une meilleure expérience vouée à leur fidélisation.;1;101;150
auchanholding;87;118;Dans ce contexte évolutif, les métiers de la distribution opèrent également des mutations majeures.;1;67;97
auchanholding;88;118;Filières de valorisation;3;692;698
auchanholding;89;118;Associations;3;633;640
auchanholding;90;118;Supermarché;3;535;542
auchanholding;91;118;Auchan Retail s’attache;3;486;496
auchanholding;92;119;Ceetrus, une entreprise multiple;1;770;799
auchanholding;93;119;Animé;1;738;756
auchanholding;94;119;Durable;1;709;727
auchanholding;95;119;"Responsable déﬁnition.
 d’un lieu.
 Ceetrus Co-construit.
";1;620;697
auchanholding;96;119;Innovant;1;573;591
auchanholding;97;119;Aménager Développer Restructurer #Développement #Promotion #Urbanisme;1;461;564
auchanholding;98;119;COM MITTED;1;321;332
auchanholding;99;119;"Co-construire avec les territoires et les parties prenantes INNO.
 VATIVE Répondre à leurs attentes.
";1;283;310
auchanholding;100;119;Au-delà de la gestion traditionnelle des sites (gestion des charges locatives, gestion technique patrimoniale, commercialisation, gestion des baux),Ceetrus anime les lieux de commerces, de loisirs, de culture et de vie invitant à vivre une expérience visiteur enrichissante et différente, grâce à des offres et des services adaptés et innovants. Ceetrus développe des relations entre les acteurs du territoire et anime les lieux avec les communautés qui engagent des projets locaux et proposent des initiatives citoyennes.;1;56;149
auchanholding;101;119;Modèle d’affaires;2;769;790
auchanholding;102;119;"Développeur immobilier mixte Toujours foncière commerciale.
 proche de son partenaire historique Auchan, Ceetrus prend soin de son patrimoine et enrichit l’attractivité de ses sites en mixant leurs usages autour de commerces, logements, bureaux, loisirs et infrastructures urbaines.";2;564;677
auchanholding;103;119;Intégrant dans ses nouveaux projets tout ce qui fait la ville au-delà du commerce, Ceetrus propose des solutions urbaines globales, co-construites avec les acteurs du territoire et répondant aux besoins des habitants. Il renforce l’ancrage local au cœur des communautés, par l’écoute et l’animation de ces lieux.;2;460;560
auchanholding;104;119;Exploiter Gérer Apporter de la valeur d’usage #Commerce #Property #Exploitation;2;159;278
auchanholding;105;119;Rapport financier 2018 I;2;22;30
auchanholding;106;119;Passeur d’émotions;0;732;761
auchanholding;107;119;Créateur de liens;0;672;700
auchanholding;108;119;Répondant aux besoins des citoyens;0;610;652
auchanholding;109;119;Intelligent;0;573;591
auchanholding;110;119;Après avoir identifié les besoins du territoire dans une démarche d’écoute et de dialogue avec l’ensemble des parties prenantes, Ceetrus co-crée et développe des solutions urbaines globales et sur- mesure, alliant zones commerciales, résidences, bureaux et infrastructures urbaines.;0;469;544
auchanholding;111;119;Urbaniste citoyen de l’immobilier mixte, Ceetrus veille à construire des lieux de vie connectés à la ville et assurant les fonctions urbaines modernes.;0;428;465
auchanholding;112;119;"Arbitrer Céder #Asset Ceetrus investit dans des.
 projets créateurs de valeur et porteurs de sa Vision 2030.";0;179;267
auchanholding;113;119;Gestionnaire responsable de patrimoine, Ceetrus valorise et sécurise ses actifs immobiliers pour en maintenir la qualité et en accroître la performance.»;0;129;175
auchanholding;114;119;"VOLET ÉCONOMIQUE 295 centres commerciaux gérés.
 2,2 millions de m2 gérés 1 milliard de visiteurs par an 10 700 partenaires commerçants";3;364;435
auchanholding;115;119;"VOLET ENVIRONNEMENT 20,2 % baisse de la consommation.
 d’électricité par m2 depuis.
 2014";3;291;344
auchanholding;116;119;"36 % de la valeur du patrimoine certifiée ou en cours de.
 certification BREEAM in use";3;256;291
auchanholding;117;119;"75 % des projets sont certifiés en BREEAM new building.
 depuis 2012";3;221;256
auchanholding;118;119;"VOLET RH 1 124 collaborateurs.
 52,8% de managers femmes";3;156;203
auchanholding;119;119;"VOLET SOCIÉTAL Environ 3 700 emplois.
 permanents ou temporaires.
 créés dans nos galeries";3;88;139
auchanholding;120;119;"5 637 jours d’animations RSE (Salon de l’Emploi, Salon de.
 l’Environnement, collectes...)";3;52;85
auchanholding;121;119;117;3;21;37
auchanholding;122;120;"DÉCLARATION DE PERFORMANCE EXTRA-FINANCIÈRE Présentation des modèles d’affaires.
";0;795;813
auchanholding;123;120;DU VOLET RSE À LA DPEF;0;736;749
auchanholding;124;120;Historiquement, les politiques RSE de Groupe Auchan, désormais Auchan Holding, ont été centrées sur un nombre restreint de thématiques de travail, jugées les plus pertinentes au regard des activités et impacts de l’entreprise. Dans le cadre des obligations de reporting RSE issues de l’article 225 de la loi Grenelle 2, Auchan Holding a décidé de publier un rapport plus détaillé, mettant progressivement en place des indicateurs supplémentaires.;0;646;726
auchanholding;125;120;La récente transposition en droit français de la directive européenne sur le reporting extra-financier pousse à repenser l’organisation de ce rapport, en le recentrant sur les enjeux et risques extra-financiers les plus importants/impactants.;0;602;642
auchanholding;126;120;Pour répondre à cette évolution tout en assurant un niveau d’informations suffisant vis-à-vis de ses parties prenantes internes et externes, la Direction RSE d’Auchan Retail a décidé de consolider et capitaliser sur différents travaux et études existants, présentés en pages 113-114. Cette synthèse permet d’identifier des thématiques RSE « majeures » et « mineures ». La récurrence d’une thématique RSE dans au moins 2 de ces 4 études ou plus nous permet de considérer comme majeure la thématique. Auquel cas, les thématiques, ainsi identifiées, feront l’objet d’un dossier approfondi particulièrement mis en exergue. A contrario, les thématiques ne faisant l’objet que d’une occurrence dans les travaux analysés seront traitées comme « mineures » dans ce document et feront l’objet d’un traitement plus classique. Pour ces dernières thématiques, les indicateurs existants seront présentés en même temps que les principaux faits marquants de la période de reporting. Des exemples pris parmi d’implantation de l’entreprise permettront d’illustrer politiques RSE.;0;408;598
auchanholding;127;120;Pour simplifier la lecture du document, les thématiques RSE ont été recensées sur le périmètre Auchan Retail dont l’activité représente 98,6 % du chiffre d’affaires de la holding. Les risques spécifiques à Ceetrus sont quant à eux en cours d’identification. Leur significativité par rapport aux risques d’Auchan Retail sera explicitée dans la DPEF 2019. Par ailleurs, Oney réalise sa propre DPEF. Pour en savoir plus, rendez-vous sur le site institutionnel www.oney.com.;0;323;403
auchanholding;128;120;"Rapport financier 2018 I 118.
";0;21;30
auchanholding;129;120;Présentation des différents travaux menés;2;737;749
auchanholding;130;120;Analyse des risques Auchan Retail;2;721;730
auchanholding;131;120;Le Pôle Risques d’Auchan Retail a mené une cartographie des risques au niveau international en 2017. Bien que celle-ci ne soit pas centrée sur les risques extra-financiers, certaines thématiques identifiées lors de ces cartographies se rapportent directement ou indirectement à des enjeux RSE.;2;668;718
auchanholding;132;120;Étude devoir de vigilance;2;649;659
auchanholding;133;120;Dans le cadre de sa réponse à la loi dite « devoir de vigilance », Auchan Retail a réalisé une matrice des risques de l’entreprise, accompagné par un cabinet de conseil expert. Les principaux risques résiduels identifiés au cours de cette étude ont été pris en compte dans cette synthèse.;2;597;646
auchanholding;134;120;Matrice risques parties prenantes;2;578;588
auchanholding;135;120;Cette étude interne a été réalisée entre mai et juillet 2018. Chaque pays d’implantation d’Auchan Retail était en charge de définir les liste des enjeux les plus importants pour leurs différentes parties prenantes et de les noter selon 3 critères : importance, récurrence des revendications par les parties prenantes et maîtrise de l’enjeu par l’entreprise.;2;515;575
auchanholding;136;120;Matrice Consommation Responsable;2;497;507
auchanholding;137;120;Cette étude a été réalisée entre novembre 2016 et janvier 2017. Une liste de 23 enjeux avait été pré-établie par l’équipe RSE corporate. Ces enjeux étaient restreints à un périmètre produits. Elle avait pour objectif :;2;454;494
auchanholding;138;120;"les enjeux saillants de d’identifier responsable aux niveaux national et international ;";2;430;450
auchanholding;139;120;de hiérarchiser ces enjeux afin d’identifier les stratégies à formaliser et les actions à mettre en place en priorité.;2;406;425
auchanholding;140;120;Analyse d’un questionnaire d’une agence de notation extra-financière;2;377;397
auchanholding;141;120;Les questionnaires des agences de notation extra-financière supposent une adaptation au secteur d’activité de l’entreprise. La prise en compte des questions recensées dans lesdits questionnaires permet ainsi d’éviter toute éventuelle omission.;2;334;374
auchanholding;142;120;Retour d’un cabinet de conseil;2;316;326
auchanholding;143;120;Consulté pour envisager d’éventuels oublis dans les tableaux présentés ci-dessous, un cabinet de conseil a permis à Auchan Retail d’identifier quelques thématiques nécessitant un travail approfondi.;2;273;313
auchanholding;144;120;la consommation;3;440;450
auchanholding;145;120;les pratiques des différents pays les;1;418;438
auchanholding;146;121;"DÉCLARATION DE PERFORMANCE EXTRA-FINANCIÈRE Présentation des modèles d’affaires.
";2;795;813
auchanholding;147;121;Matrice Agence de risques Retour notation devoir cabinet de extra- conseil financière;2;614;645
auchanholding;148;121;Prévenir les risques liés;2;601;610
auchanholding;149;121;développement individuel;2;562;571
auchanholding;150;121;Encourager l’innovation et l’engagement des salariés;2;531;550
auchanholding;151;121;Favoriser l’insertion des personnes en situation de handicap et promouvoir;2;501;528
auchanholding;152;121;Promouvoir les droits de l’homme et lutter contre;2;453;471
auchanholding;153;121;Matrice Agence de risques Retour notation devoir cabinet de extra- conseil financière;2;348;379
auchanholding;154;121;Lutter contre le gaspillage;2;314;323
auchanholding;155;121;ressources naturelles et;2;283;293
auchanholding;156;121;économie plus circulaire;2;265;275
auchanholding;157;121;Optimiser et réduire les;2;210;220
auchanholding;158;121;environnemental des sites;2;162;171
auchanholding;159;121;le risque de pollution liée à;2;141;150
auchanholding;160;121;Rapport financier 2018 I;2;22;30
auchanholding;161;121;CARTOGRAPHIE DES RISQUES RSE;0;736;749
auchanholding;162;121;Pour des raisons de lisibilité et pour mettre en valeur les thématiques RSE considérées comme prioritaires, les risques RSE sont synthétisés sous forme de tableaux, correspondant aux 4 principaux chapitres de la DPEF. Les thématiques faisant l’objet d’un dossier apparaissent en gras.;0;696;726
auchanholding;163;121;Chapitre Collaborateurs;0;662;673
auchanholding;164;121;Cartographie des risques Thématique corporate;0;614;637
auchanholding;165;121;Santé, sécurité et qualité de vie au travail;0;583;610
auchanholding;166;121;Gestion des carrières;0;553;571
auchanholding;167;121;Engagement des salariés;0;531;550
auchanholding;168;121;Diversité/ handicap;0;474;492
auchanholding;169;121;Droits de l’homme et convention OIT;0;435;453
auchanholding;170;121;Chapitre Environnement;0;396;407
auchanholding;171;121;Cartographie des risques corporate Thématique;0;348;371
auchanholding;172;121;Changement climatique;0;326;344
auchanholding;173;121;Gaspillage alimentaire;0;305;323
auchanholding;174;121;Économie circulaire;0;265;284
auchanholding;175;121;Plastiques;0;244;253
auchanholding;176;121;Gestion des déchets;0;223;241
auchanholding;177;121;Énergie;0;192;202
auchanholding;178;121;Système de management environnemental;0;162;189
auchanholding;179;121;Pollution;0;132;141
auchanholding;180;121;Matrice Matrice risques consommation parties responsable prenantes de vigilance;1;614;645
auchanholding;181;121;Matrice Matrice risques consommation parties responsable prenantes de vigilance;1;348;379
auchanholding;182;121;Titre du sous-chapitre correspondant;3;614;630
auchanholding;183;121;à la santé et assurer la sécurité au travail;3;583;601
auchanholding;184;121;Participer au;3;571;580
auchanholding;185;121;des collaborateurs;3;553;562
auchanholding;186;121;l’égalité des chances entre les femmes et les hommes;3;474;501
auchanholding;187;121;toutes les formes de discriminations;3;435;453
auchanholding;188;121;Titre du sous-chapitre correspondant;3;348;364
auchanholding;189;121;Mobiliser l’entreprise autour du climat;3;326;344
auchanholding;190;121;alimentaire;3;305;314
auchanholding;191;121;Réduire le recours aux;3;292;302
auchanholding;192;121;fossiles au profit d’une;3;274;284
auchanholding;193;121;Trier et valoriser les déchets produits;3;244;262
auchanholding;194;121;Trier et valoriser les déchets produits;3;223;241
auchanholding;195;121;consommations énergétiques;3;192;211
auchanholding;196;121;Développer le management;3;171;189
auchanholding;197;121;Réduire au maximum;3;150;159
auchanholding;198;121;l’exploitation des sites;3;132;141
auchanholding;199;121;119;3;21;37
auchanholding;200;122;"DÉCLARATION DE PERFORMANCE EXTRA-FINANCIÈRE Présentation des modèles d’affaires.
";0;795;813
auchanholding;201;122;Chapitre Partenaires;0;737;749
auchanholding;202;122;Cartographie des risques Thématique corporate;0;689;713
auchanholding;203;122;Éthique des affaires (corruption);0;658;686
auchanholding;204;122;Droit de l’Homme et respect OIT;0;628;655
auchanholding;205;122;Abus de pouvoir lors des négociations;0;598;625
auchanholding;206;122;Développement économique des territoires;0;568;595
auchanholding;207;122;Production locale;0;537;547
auchanholding;208;122;Commerce équitable;0;516;534
auchanholding;209;122;Chapitre Clients;0;477;488
auchanholding;210;122;Cartographie des risques corporate Thématique;0;429;452
auchanholding;211;122;Pesticides et produits bios;0;407;425
auchanholding;212;122;Sécurité et Qualité des produits;0;377;404
auchanholding;213;122;Bien être animal;0;355;365
auchanholding;214;122;Traçabilité des produits;0;334;352
auchanholding;215;122;Protection données personnelles;0;304;331
auchanholding;216;122;"Rapport financier 2018 I 120.
";0;21;30
auchanholding;217;122;Matrice Matrice risques consommation parties responsable prenantes de vigilance;1;689;720
auchanholding;218;122;Matrice Matrice risques consommation parties responsable prenantes de vigilance;1;429;460
auchanholding;219;122;Matrice Agence de risques Retour notation devoir cabinet de extra- conseil financière;2;689;720
auchanholding;220;122;Matrice Agence de risques Retour notation devoir cabinet de extra- conseil financière;2;429;460
auchanholding;221;122;Développer la naturalité des;2;416;425
auchanholding;222;122;Proposer des produits sains et;2;386;395
auchanholding;223;122;Appréhender les questions relatives au bien être animal;2;355;374
auchanholding;224;122;Informer les clients grâce à la;2;343;352
auchanholding;225;122;Titre du sous-chapitre correspondant;3;689;705
auchanholding;226;122;Lutter contre la corruption;3;658;668
auchanholding;227;122;Respecter les principes généraux et les normes de l’OIT;3;628;655
auchanholding;228;122;Faire de l’éthique un sujet d’entreprise partagé;3;598;616
auchanholding;229;122;Tisser des partenariats durables avec les PME et les petits producteurs;3;568;595
auchanholding;230;122;Privilégier les approvisionnements locaux;3;537;565
auchanholding;231;122;Promouvoir un commerce plus équitable;3;516;534
auchanholding;232;122;Titre du sous-chapitre correspondant;3;429;445
auchanholding;233;122;produits frais;3;407;416
auchanholding;234;122;sécurisés;3;377;386
auchanholding;235;122;blockchain;3;334;343
auchanholding;236;122;Protéger les données personnelles des clients et salariés;3;304;331
auchanholding;237;123;DÉCLARATION DE PERFORMANCE EXTRA-FINANCIÈRE;2;804;813
auchanholding;238;123;1 124;2;574;591
auchanholding;239;123;2 581;2;546;563
auchanholding;240;123;"2018 358.
";2;521;543
auchanholding;241;123;Autres Banque Immobilier 0,10 % 0,72 % 0,31 %;2;487;505
auchanholding;242;123;RÉPARTITION DES EFFECTIFS CDI/CDD PAR ZONE GÉOGRAPHIQUE AU 30 SEPTEMBRE 2018;2;383;401
auchanholding;243;123;73,5 %;2;344;355
auchanholding;244;123;TOTAL;2;327;337
auchanholding;245;123;"89,9 % Europe.
 de l’Ouest";2;290;321
auchanholding;246;123;"94,4 % Europe.
 centrale et de l’Est 48,6 %.
";2;245;288
auchanholding;247;123;Asie;2;231;241
auchanholding;248;123;74,1 %;2;214;226
auchanholding;249;123;Afrique;2;200;210
auchanholding;250;123;CDI;2;168;178
auchanholding;251;123;Rapport financier 2018 I;2;22;30
auchanholding;252;123;Collaborateurs;3;795;803
auchanholding;253;123;354 851;3;579;596
auchanholding;254;123;Retail 98,87 %;3;488;505
auchanholding;255;123;26,5 %;3;343;354
auchanholding;256;123;10,1 %;3;310;321
auchanholding;257;123;5,6 %;3;277;289
auchanholding;258;123;51,3 %;3;244;256
auchanholding;259;123;25,9 %;3;214;226
auchanholding;260;123;CDD;3;168;178
auchanholding;261;123;121;3;21;37
auchanholding;262;123;"COLLABORATEURS 6.2 Acteurs de l’emploi, Auchan Retail, Ceetrus et Oney assument leur responsabilité sociale à l’égard de leurs 358 914 collaborateurs..
 Soucieux du développement de la sécurité et de la qualité de vie au travail ainsi que de l’implication en confiance de chacun, toutes les entités d’Auchan Holding se nourrissent de la diversité de leurs profils pour progresser dans une culture de responsabilité et de partage.";0;692;749
auchanholding;263;123;ÊTRE UN ACTEUR RESPONSABLE DE L’EMPLOI;0;662;675
auchanholding;264;123;Présentation de l’entreprise et des effectifs;0;641;653
auchanholding;265;123;ÉVOLUTION DES EFFECTIFS PAR MÉTIER;0;625;634
auchanholding;266;123;1 007;0;574;591
auchanholding;267;123;2 481;0;546;563
auchanholding;268;123;337;0;521;537
auchanholding;269;123;Autres 0,09 %;0;488;505
auchanholding;270;123;Au 30 septembre 2018, les entreprises rattachées à Auchan Holding comptaient 358 914 collaborateurs dans leurs 15 pays d’implantation, soit une progression de l’effectif de 1,1 % par rapport à 2017.;0;428;448
auchanholding;271;123;RÉPARTITION DES EFFECTIFS PAR ZONE GÉOGRAPHIQUE AU 30 SEPTEMBRE 2018;0;383;401
auchanholding;272;123;150 790;0;319;336
auchanholding;273;123;"1 325 Afrique.
 0,4 %";0;245;289
auchanholding;274;123;Asie 42,0 %;0;224;241
auchanholding;275;123;Les effectifs restent stables, à l’exception de la zone Afrique qui connaît une augmentation de 172,6 % de son effectif avec l’ouverture de 16 magasins au cours de la période.;0;176;206
auchanholding;276;123;351 282;1;579;596
auchanholding;277;123;2017;1;523;543
auchanholding;278;123;Retail Banque Immobilier 98,92 % 0,70 % 0,28 %;1;487;505
auchanholding;279;123;81 511;1;348;365
auchanholding;280;123;125 288;1;306;323
auchanholding;281;123;Europe centrale et de l'Est 22,7 %;1;246;263
auchanholding;282;123;Europe de l’Ouest 34,9 %;1;224;241
auchanholding;283;123;La proportion des collaborateurs en contrat à durée indéterminée progresse de 3 % en 2018 pour atteindre 73,5 % des effectifs. Malgré une régression de 20 % de la part de CDD sur l’effectif total au Vietnam, cette forme contractuelle reste favorisée par les employeurs et concerne toujours plus de la moitié de l’effectif.;1;87;147
auchanholding;284;124;"DÉCLARATION DE PERFORMANCE EXTRA-FINANCIÈRE Collaborateurs6.
 RÉPARTITION DES EFFECTIFS TEMPS.
 COMPLET/TEMPS PARTIEL AU 30 SEPTEMBRE 2018";0;730;813
auchanholding;285;124;TOTAL;0;675;685
auchanholding;286;124;Europe de l’Ouest;0;637;657
auchanholding;287;124;Europe centrale et de l’Est;0;598;629
auchanholding;288;124;Asie;0;578;587
auchanholding;289;124;Afrique;0;545;555
auchanholding;290;124;Temps complet;0;513;523
auchanholding;291;124;La part de collaborateurs travaillant à temps complet est stable par rapport à 2017 (-0.1 point), soit 81,1 % des effectifs.;0;471;491
auchanholding;292;124;RÉPARTITION DES EFFECTIFS PAR TRANCHE D’ÂGE ET ZONE GÉOGRAPHIQUE AU 30 SEPTEMBRE 2018;0;440;458
auchanholding;293;124;12,0 % 25,3 %;0;401;412
auchanholding;294;124;TOTAL;0;384;394
auchanholding;295;124;"16,6 % 19,6 % Europe.
 de l’Ouest";0;346;378
auchanholding;296;124;"9,2 % 24,9 % Europe.
 centrale et de l’Est 9,6 % 29,9 %.
";0;302;347
auchanholding;297;124;Asie;0;287;297
auchanholding;298;124;9,4 %;0;269;281
auchanholding;299;124;Afrique;0;255;265
auchanholding;300;124;<25;0;222;232
auchanholding;301;124;Au total, pour Auchan Holding, une baisse de 1,7 % des effectifs de moins de 25 ans et une hausse de 9,1% des effectifs de plus de 50 ans sont constatées.;0;170;199
auchanholding;302;124;"Rapport financier 2018 I 122.
";0;21;30
auchanholding;303;124;> TAUX DE TURN-OVER DES CDI PAR ZONE GÉOGRAPHIQUE DU 1ER OCTOBRE 2017 AU 30 SEPTEMBRE 2018;2;730;749
auchanholding;304;124;"Asie Europe.
 Europe.
 Afrique centrale.
 et de l’ Est.
 N-1.
";2;496;560
auchanholding;305;124;Le taux de turn-over est globalement en hausse par rapport à 2017 (+ 12,5 %). La Roumanie affiche cependant une diminution de 14,0% de son turn-over qui atteint aujourd’hui à 30,9%.;2;451;481
auchanholding;306;124;La société Ceetrus affiche un taux de turn-over de 12,9 % soit 37,0 % de plus qu’en 2017. Quant à la société Oney, une baisse du taux de turn-over de 13,0 % est observée, passant de 20,8 % à 18,0%.;2;407;447
